"rank","film","country_of_origin","weekend_gross","distributor","percent_change_on_last_week","weeks_on_release","number_of_cinemas","site_average","total_gross_to_date","weekend_sunday","year","week","year_week"
32,"Paw Patrol: Big Screen Tails","UK","16175.4361189954","National Amusements UK",-0.176983877200082,3,87,185,119910,"2017-11-05",2017,44,"2017-44"
34,"Sardar Mohammad","Ind","13558.0718280252","B4U Movies",NA,1,14,968,13558,"2017-11-05",2017,44,"2017-44"
38,"The Silence of the Lambs (Re: 2017)","USA","8382.81595876099","BFI",NA,1,2,4191,8382,"2017-11-05",2017,44,"2017-44"
40,"Rise of the Footsoldier 3: The Pat Tate Story","UK","7050.00000000813","Signature Entertainment",NA,1,12,587,7050,"2017-11-05",2017,44,"2017-44"
41,"78/52","USA","7015","Dogwoof",NA,1,5,1403,7015,"2017-11-05",2017,44,"2017-44"
43,"Sorcerer (40th Anniversary)","USA","4567","eOne Films",NA,1,6,761,4567,"2017-11-05",2017,44,"2017-44"
44,"Grace Jones: Bloodlight and Bami","UK/Ire/Aus/Fra/Ger","3985","Trafalgar",-0.959460421774382,2,4,996,114683,"2017-11-05",2017,44,"2017-44"
45,"Ferrari: Race to Immortality","UK","3389.68574938026","Munro Film",NA,1,16,211,3389,"2017-11-05",2017,44,"2017-44"
48,"I am Not a Witch","UK/Fra","2697","Curzon/Artificial Eye",-0.526343519494204,3,9,299,51080,"2017-11-05",2017,44,"2017-44"
50,"Gauguin","Fra","2415.0000000005","StudioCanal",NA,1,2,1207,2415,"2017-11-05",2017,44,"2017-44"
55,"Condemned to Remember","Ire","1919.3805569684","Eclipse Pictures",NA,1,4,479,1919,"2017-11-05",2017,44,"2017-44"
57,"Ketenpere","Tur","1826.14999999637","Af-Media",NA,1,3,608,1826,"2017-11-05",2017,44,"2017-44"
59,"Earth: One Amazing Day","UK","1614","BBC Earth/Munro",-0.664379288833437,3,12,134,73191,"2017-11-05",2017,44,"2017-44"
60,"The Ritual","UK","1555","eOne Films",-0.744789102248482,4,35,44,798554,"2017-11-05",2017,44,"2017-44"
61,"God's Own Country","UK","1443","Picture House Entertainment",-0.0975609756097561,10,4,360,792831,"2017-11-05",2017,44,"2017-44"
62,"Hamlet - NT Live 2015 Encore (Theatre)","UK","1429.99999999486","National Theatre/ Trafalgar Studios",-0.311838306065278,6,2,714,472454,"2017-11-05",2017,44,"2017-44"
63,"Property of the State","UK/Ire","1186","Miracle Communications",-0.698449021103483,2,4,296,10200,"2017-11-05",2017,44,"2017-44"
68,"The School of Life","Fra","844.999999999398","StudioCanal",NA,1,2,422,844,"2017-11-05",2017,44,"2017-44"
69,"Dunkirk","UK/USA","747","Warner Bros",0.151001540832049,16,2,373,56585035,"2017-11-05",2017,44,"2017-44"
77,"De Plus Belle","Fra","482.000000000056","StudioCanal",NA,1,1,482,482,"2017-11-05",2017,44,"2017-44"
81,"The Ballad of Shirley Collins","UK","354","Lowlight",-0.798405466970387,3,3,118,14602,"2017-11-05",2017,44,"2017-44"
83,"Eric Clapton: Live at the Royal Albert Hall - Slowhand at 70","UK","288","Arts Alliance",NA,113,1,288,43218,"2017-11-05",2017,44,"2017-44"
85,"Thomas & Friends: Journey Beyond Sodor","UK","269.799999998861","National Amusements UK",-0.24213483145879,11,1,269,200803,"2017-11-05",2017,44,"2017-44"
88,"Daphne","UK","142","Altitude",-0.831353919239905,6,2,71,106524,"2017-11-05",2017,44,"2017-44"
94,"Problemos","Fra","63.9999999982589","StudioCanal",NA,1,1,63,63,"2017-11-05",2017,44,"2017-44"
95,"Tawai: A Voice from the Forest","UK/Bra/Ind/Mas","57","Munro Film",-0.512820512820513,6,1,57,54029,"2017-11-05",2017,44,"2017-44"
1,"Paddington 2","UK/Fra","8260160","StudioCanal",NA,1,607,13608,8260160,"2017-11-12",2017,45,"2017-45"
2,"Murder on the Orient Express","UK/USA","4376429","20th Century Fox",-0.12298771,2,642,6816,12989387,"2017-11-12",2017,45,"2017-45"
3,"Thor: Ragnarok","USA","3073349","Disney",-0.33454363,3,569,5401,25879938,"2017-11-12",2017,45,"2017-45"
4,"A Bad Moms Christmas","USA","1272396","Entertainment",-0.28616454,2,478,2661,4186649,"2017-11-12",2017,45,"2017-45"
5,"Jigsaw","USA/Can","414932","Lionsgate",-0.44892929,3,342,1213,4541777,"2017-11-12",2017,45,"2017-45"
6,"The Death of Stalin","UK","296693","eOne Films",-0.43006785,4,290,1023,4282860,"2017-11-12",2017,45,"2017-45"
7,"Only the Brave","USA","268680.235688884","Lionsgate",NA,1,332,809,268680,"2017-11-12",2017,45,"2017-45"
8,"The Florida Project","USA","241490","Altitude",NA,1,100,2414,241490,"2017-11-12",2017,45,"2017-45"
9,"Blade Runner 2049","USA","213054","Sony Pictures",-0.38871036,6,192,1109,18640036,"2017-11-12",2017,45,"2017-45"
10,"The LEGO Ninjago Movie","USA/Den","193466","Warner Bros",-0.59191706,5,484,399,9306771,"2017-11-12",2017,45,"2017-45"
11,"My Little Pony","USA","162713","Lionsgate",-0.58293476,4,465,349,3433973,"2017-11-12",2017,45,"2017-45"
12,"The Killing of a Sacred Deer","UK/USA","118703","Curzon/Artificial Eye",-0.58798702,2,96,1236,550269,"2017-11-12",2017,45,"2017-45"
13,"Predator (30th Anniversary)","USA","99689","Park Circus",NA,1,2,49844,99689,"2017-11-12",2017,45,"2017-45"
14,"Geostorm","USA","98656","Warner Bros",-0.62236649,4,193,511,4217525,"2017-11-12",2017,45,"2017-45"
15,"Call Me by Your Name","Ita/Fra/USA/Bra","91412","Sony Pictures",-0.34794673,3,67,1364,767323,"2017-11-12",2017,45,"2017-45"
16,"Kingsman: The Golden Circle","UK/USA","86497","20th Century Fox",-0.51452545,8,143,604,24783054,"2017-11-12",2017,45,"2017-45"
18,"The Taming of the Shrew - Bolshoi 2017 (Ballet)","Rus","61300.3700000228","Trafalgar",NA,1,126,486,61300,"2017-11-12",2017,45,"2017-45"
20,"Breathe","UK","49918","STX Entertainment",-0.70684927,3,177,282,1515558,"2017-11-12",2017,45,"2017-45"
22,"Qarib Qarib Single","Ind","35766.5837027187","Zee Studios",NA,1,32,1117,35766,"2017-11-12",2017,45,"2017-45"
23,"No Stone Unturned","UK/USA","30713.4452377871","Wildcard",NA,1,19,1616,30713,"2017-11-12",2017,45,"2017-45"
25,"The Party","UK","28703","Picture House Entertainment",-0.28425016,5,34,844,976828,"2017-11-12",2017,45,"2017-45"
27,"Loving Vincent","UK/Pol","21466","Altitude",-0.29783128,5,32,670,767143,"2017-11-12",2017,45,"2017-45"
31,"Villain","Ind","15184.4707703858","Pranay Pictures",NA,1,43,353,15184,"2017-11-12",2017,45,"2017-45"
34,"Goodbye Christopher Robin","UK","11296","20th Century Fox",-0.61,7,28,403,2849112,"2017-11-12",2017,45,"2017-45"
36,"Paw Patrol: Big Screen Tails","UK","9641.97524361807","National Amusements UK",-0.4039125,4,82,117,129825,"2017-11-12",2017,45,"2017-45"
37,"Professor Marston and the Wonder Women","USA","9148","Sony Pictures",NA,1,72,127,9148,"2017-11-12",2017,45,"2017-45"
38,"The Snowman","UK/Swe/Nor","8673.68578441568","Universal",-0.68105909,5,48,180,3288661,"2017-11-12",2017,45,"2017-45"
40,"Victoria and Abdul","UK","6714","Universal",-0.78880151,9,30,223,9828274,"2017-11-12",2017,45,"2017-45"
43,"Mutluluk Zamani","Tur","5955.7499999936","AF-Media",NA,1,3,1985,5955,"2017-11-12",2017,45,"2017-45"
45,"Marjorie Prime","USA","4737","Bulldog Film Distribution",NA,1,3,1579,4737,"2017-11-12",2017,45,"2017-45"
46,"Ippadai Vellum","Ind","3655.65000000795","Ayngaran",NA,1,7,522,3655,"2017-11-12",2017,45,"2017-45"
50,"Aramm","Ind","2976.11000000114","Murugan Talkies",NA,1,4,744,2976,"2017-11-12",2017,45,"2017-45"
51,"Felicite","Fra","2946","MUBI",NA,1,6,491,2946,"2017-11-12",2017,45,"2017-45"
53,"The Secret Spitfires","Uk","2801.26000000251","Espresso Media",NA,1,1,2801,2801,"2017-11-12",2017,45,"2017-45"
54,"Tawai: A Voice from the Forest","UK/Bra/Ind/Mas","2621","Munro Film",44.98245614,7,2,1310,59415,"2017-11-12",2017,45,"2017-45"
56,"Grace Jones: Bloodlight and Bami","UK/Ire/Aus/Fra/Ger","1907","Trafalgar",-0.52145546,3,3,635,118331,"2017-11-12",2017,45,"2017-45"
58,"Kaleidoscope","UK","1648.16999999641","Pinpoint",NA,1,7,235,1648,"2017-11-12",2017,45,"2017-45"
60,"The Ballad of Shirley Collins","UK","1360","Lowlight",2.84180791,4,3,453,16185,"2017-11-12",2017,45,"2017-45"
64,"I am Not a Witch","UK/Fra","938","Curzon/Artificial Eye",-0.65220615,4,3,312,54504,"2017-11-12",2017,45,"2017-45"
66,"Rise of the Footsoldier 3: The Pat Tate Story","UK","891.999999995788","Signature Entertainment",-0.87529708,2,2,446,13024,"2017-11-12",2017,45,"2017-45"
67,"Property of the State","UK/Ire","847.098818345028","Miracle Communications",-0.28583537,3,3,282,12035,"2017-11-12",2017,45,"2017-45"
70,"Dunkirk","UK/USA","670","Warner Bros",-0.10307898,17,2,335,56591176,"2017-11-12",2017,45,"2017-45"
71,"Hamlet - NT Live 2015 Encore (Theatre)","UK","663.999999997138","National Theatre/ Trafalgar Studios",-0.53566434,7,1,664,474400,"2017-11-12",2017,45,"2017-45"
72,"Aux","UK","550.000000009225","Evolutionary Films/Miracle",NA,1,9,61,550,"2017-11-12",2017,45,"2017-45"
73,"A Caribbean Dream","UK/Barbados","541.339999998349","Verve",NA,1,2,270,541,"2017-11-12",2017,45,"2017-45"
76,"Daphne","UK","449","Altitude",2.16197183,7,1,449,107930,"2017-11-12",2017,45,"2017-45"
83,"God's Own Country","UK","258","Picture House Entertainment",-0.82120582,11,1,258,794397,"2017-11-12",2017,45,"2017-45"
87,"Thomas & Friends: Journey Beyond Sodor","UK","168.000000002209","National Amusements UK",-0.37731653,12,1,168,200971,"2017-11-12",2017,45,"2017-45"
90,"Earth: One Amazing Day","UK","160","BBC Earth/Munro",-0.90086741,4,1,160,73957,"2017-11-12",2017,45,"2017-45"
91,"Yerma - NT Live 2017 (Theatre)","UK","157.000000003242","National Theatre/ Trafalgar Studios",NA,12,1,157,899534,"2017-11-12",2017,45,"2017-45"
1,"Justice League","USA/UK","7264784","Warner Bros",NA,1,578,12568,7264784,"2017-11-19",2017,46,"2017-46"
2,"Paddington 2","UK/Fra","6612699","StudioCanal",-0.19944662,2,613,10787,16893580,"2017-11-19",2017,46,"2017-46"
3,"Murder on the Orient Express","UK/USA","2279200","20th Century Fox",-0.48097682,3,617,3694,17753371,"2017-11-19",2017,46,"2017-46"
4,"Thor: Ragnarok","USA","1166031","Disney",-0.62097832,4,488,2389,28210484,"2017-11-19",2017,46,"2017-46"
5,"A Bad Moms Christmas","USA","761829","Entertainment",-0.40082959,3,413,1844,5804544,"2017-11-19",2017,46,"2017-46"
6,"Film Stars Don't Die in Liverpool","UK","236317","Lionsgate",NA,1,150,1575,236317,"2017-11-19",2017,46,"2017-46"
7,"The Death of Stalin","UK","111743","eOne Films",-0.6241406,5,140,798,4574405,"2017-11-19",2017,46,"2017-46"
8,"Jigsaw","USA/Can","105861","Lionsgate",-0.74510182,4,218,485,4855609,"2017-11-19",2017,46,"2017-46"
9,"The Florida Project","USA","103014","Altitude",-0.57462113,2,97,1062,459999,"2017-11-19",2017,46,"2017-46"
10,"The Exterminating Angel - Met Opera 2017 (Opera)","USA","98593","Trafalgar",NA,1,191,516,98593,"2017-11-19",2017,46,"2017-46"
11,"Ingrid Goes West","USA","65750","Universal",NA,1,162,405,65750,"2017-11-19",2017,46,"2017-46"
12,"My Little Pony","USA","61434","Lionsgate",-0.62653649,5,344,178,3507235,"2017-11-19",2017,46,"2017-46"
13,"Blade Runner 2049","USA","60377","Sony Pictures",-0.7198816,7,96,628,18821157,"2017-11-19",2017,46,"2017-46"
14,"The LEGO Ninjago Movie","USA/Den","60365","Warner Bros",-0.69147854,6,273,221,9378170,"2017-11-19",2017,46,"2017-46"
15,"Call Me by Your Name","Ita/Fra/USA/Bra","53528","Sony Pictures",-0.41273533,4,41,1305,883452,"2017-11-19",2017,46,"2017-46"
16,"The Killing of a Sacred Deer","UK/USA","50935","Curzon/Artificial Eye",-0.57292942,3,49,1039,681047,"2017-11-19",2017,46,"2017-46"
17,"Verna","Pak","47091.8700000153","Hum Network TV",NA,1,26,1811,47091,"2017-11-19",2017,46,"2017-46"
19,"Good Time","USA","34046","A24/ Curzon",NA,1,14,2431,34046,"2017-11-19",2017,46,"2017-46"
20,"Fireworks","Jpn","31906","National Amusements UK",NA,1,1,31906,31906,"2017-11-19",2017,46,"2017-46"
23,"Tumhari Sulu","Ind","22692.3399999866","Grand Showbiz",NA,1,15,1512,22692,"2017-11-19",2017,46,"2017-46"
24,"No Stone Unturned","UK/USA","22646.7162266423","Wildcard",-0.26264488,2,16,1415,85627,"2017-11-19",2017,46,"2017-46"
25,"Kingsman: The Golden Circle","UK/USA","21712","20th Century Fox",-0.74903774,9,64,339,24836890,"2017-11-19",2017,46,"2017-46"
26,"Loving Vincent","UK/Pol","20568","Altitude",-0.0418336,6,19,1082,814047,"2017-11-19",2017,46,"2017-46"
27,"The Man with the Iron Heart","UK/USA/Bel/Fra","20541","Lionsgate",-0.59905136,2,20,1027,118019,"2017-11-19",2017,46,"2017-46"
28,"Follies - NT Live 2017 (Theatre)","UK","18195.9999999999","National Theatre/ Trafalgar Studios",91.8367347,2,16,1137,971651,"2017-11-19",2017,46,"2017-46"
29,"The Party","UK","17805","Picture House Entertainment",-0.37968157,6,21,847,1020864,"2017-11-19",2017,46,"2017-46"
31,"Lazer Team 2","USA","15122.999999997","Independent",NA,1,22,687,15122,"2017-11-19",2017,46,"2017-46"
33,"Breathe","UK","9633","STX Entertainment",-0.81193628,4,29,332,1595596,"2017-11-19",2017,46,"2017-46"
37,"Suspiria (4K Restoration)","Ita","6560","Cultfilms",NA,1,1,6560,6560,"2017-11-19",2017,46,"2017-46"
38,"The Snowman","UK/Swe/Nor","6146.00000000571","Universal",-0.29142003,6,10,614,3300875,"2017-11-19",2017,46,"2017-46"
44,"Paw Patrol: Big Screen Tails","UK","4783.08535798538","National Amusements UK",-0.50393096,5,64,74,134715,"2017-11-19",2017,46,"2017-46"
45,"Victoria and Abdul","UK","4071","Universal",-0.53061224,10,8,508,9861028,"2017-11-19",2017,46,"2017-46"
46,"Hamlet - NT Live 2015 Encore (Theatre)","UK","3824.00000000336","National Theatre/ Trafalgar Studios",4.75903614,8,3,1274,480796,"2017-11-19",2017,46,"2017-46"
47,"Kenny","UK","3733.00000000301","Shear Entertainment",NA,1,5,746,3733,"2017-11-19",2017,46,"2017-46"
50,"Exhibition On Screen: Hockney 2017 (Exhibition)","UK","3209","Seventh Art Production",NA,1,2,1604,3209,"2017-11-19",2017,46,"2017-46"
54,"Grace Jones: Bloodlight and Bami","UK/Ire/Aus/Fra/Ger","1914","Trafalgar",0.00367069,4,3,638,122200,"2017-11-19",2017,46,"2017-46"
55,"Dunkirk","UK/USA","1880","Warner Bros",0.57190635,18,2,940,56599463,"2017-11-19",2017,46,"2017-46"
60,"In the Name of Peace: John Hume in America","Ire","1033.14581414786","Creeney",NA,1,12,86,1033,"2017-11-19",2017,46,"2017-46"
63,"The Secret Spitfires","Uk","899.120000000899","Espresso Media",-0.67903015,2,1,899,8701,"2017-11-19",2017,46,"2017-46"
64,"Strangled","Hun","865","Eureka",NA,1,1,865,865,"2017-11-19",2017,46,"2017-46"
65,"Trophy","USA","843","Munro Film",NA,1,3,281,843,"2017-11-19",2017,46,"2017-46"
68,"Heartstone","Den/Ice","744.999999995818","Matchbox Films",NA,1,2,372,744,"2017-11-19",2017,46,"2017-46"
70,"Property of the State","UK/Ire","686.172276610744","Miracle Communications",-0.18997375,4,1,686,13311,"2017-11-19",2017,46,"2017-46"
71,"God's Own Country","UK","681","Picture House Entertainment",1.63953488,12,1,681,796208,"2017-11-19",2017,46,"2017-46"
73,"Earth: One Amazing Day","UK","527","BBC Earth/Munro",2.29375,5,1,527,74724,"2017-11-19",2017,46,"2017-46"
76,"Tawai: A Voice from the Forest","UK/Bra/Ind/Mas","424","Munro Film",-0.83822968,8,2,212,62563,"2017-11-19",2017,46,"2017-46"
77,"Melle","Ind","400.103574552018","Swamy Movies",NA,1,1,400,400,"2017-11-19",2017,46,"2017-46"
80,"I am Not a Witch","UK/Fra","338","Curzon/Artificial Eye",-0.63965885,5,2,169,55354,"2017-11-19",2017,46,"2017-46"
83,"The Ballad of Shirley Collins","UK","282","Lowlight",-0.79264706,5,1,282,17373,"2017-11-19",2017,46,"2017-46"
90,"The Ritual","UK","153","eOne Films",NA,6,1,153,798937,"2017-11-19",2017,46,"2017-46"
97,"Daphne","UK","97","Altitude",-0.78396437,8,1,97,110024,"2017-11-19",2017,46,"2017-46"
98,"Manifesto: Live from Tate Modern","UK","94","More 2 Screen",-0.99427632,2,1,94,22706,"2017-11-19",2017,46,"2017-46"
104,"Theeran Adhigaram Ondru","Ind","39.9999999984027","Swamy Movies",NA,1,1,40,39,"2017-11-19",2017,46,"2017-46"
108,"Kaleidoscope","UK","12.0000000017936","Pinpoint",-0.9927192,2,1,12,2939,"2017-11-19",2017,46,"2017-46"
1,"Daddy's Home 2","USA","4919051","Paramount",NA,1,505,9740,4919051,"2017-11-26",2017,47,"2017-47"
2,"Paddington 2","UK/Fra","4545218","StudioCanal",-0.315290921870984,3,638,7124,22990836,"2017-11-26",2017,47,"2017-47"
3,"Justice League","USA/UK","2990473.94452777","Warner Bros",-0.59623964616621,2,584,5120,12917287,"2017-11-26",2017,47,"2017-47"
4,"Murder on the Orient Express","UK/USA","1373756","20th Century Fox",-0.397980554035145,4,599,2293,20442641,"2017-11-26",2017,47,"2017-47"
5,"Frozen","USA","1115689.49863853","Disney",NA,208,611,1826,42840559,"2017-11-26",2017,47,"2017-47"
6,"Thor: Ragnarok","USA","596034","Disney",-0.489460006270033,5,373,1597,29306199,"2017-11-26",2017,47,"2017-47"
7,"Battle of the Sexes","USA","552521","20th Century Fox",NA,1,464,1190,552521,"2017-11-26",2017,47,"2017-47"
8,"A Bad Moms Christmas","USA","398450","Entertainment",-0.476871126095787,4,325,1226,6756130,"2017-11-26",2017,47,"2017-47"
9,"Listy Do M3","Pol","397737.890004695","Phoenix",NA,1,253,1572,397737,"2017-11-26",2017,47,"2017-47"
10,"Suburbicon","USA","231412","eOne Films",NA,1,364,635,231412,"2017-11-26",2017,47,"2017-47"
11,"The Star","USA","204497","Sony Pictures",NA,1,421,485,204497,"2017-11-26",2017,47,"2017-47"
12,"Film Stars Don't Die in Liverpool","UK","108411","Lionsgate",-0.541247561538103,2,151,717,585204,"2017-11-26",2017,47,"2017-47"
13,"The Death of Stalin","UK","74659","eOne Films",-0.330862648442752,6,81,921,4736799,"2017-11-26",2017,47,"2017-47"
14,"The Florida Project","USA","64196","Altitude",-0.377003998291992,3,66,972,605735,"2017-11-26",2017,47,"2017-47"
15,"Blade Runner 2049","USA","51451","Sony Pictures",-0.166677464286871,8,62,829,18918361,"2017-11-26",2017,47,"2017-47"
18,"The Man with the Iron Heart","UK/USA/Bel/Fra","32806","Lionsgate",-0.114595703335852,3,29,1131,214467,"2017-11-26",2017,47,"2017-47"
19,"The Killing of a Sacred Deer","UK/USA","30328","Curzon/Artificial Eye",-0.405449911782004,4,39,777,746189,"2017-11-26",2017,47,"2017-47"
22,"Jane","USA","18059","Dogwoof",NA,1,6,3009,18059,"2017-11-26",2017,47,"2017-47"
23,"The Party","UK","15041","Picture House Entertainment",-0.176692758224314,7,16,940,1051703,"2017-11-26",2017,47,"2017-47"
27,"Beach Rats","USA","9635","Peccadillo",NA,1,8,1204,9635,"2017-11-26",2017,47,"2017-47"
28,"No Stone Unturned","UK/USA","9488.19065267071","Wildcard",-0.581034594255722,3,13,729,112484,"2017-11-26",2017,47,"2017-47"
29,"Kingsman: The Golden Circle","UK/USA","9463","20th Century Fox",-0.606560784965907,10,38,249,24860008,"2017-11-26",2017,47,"2017-47"
30,"Lost in Paris","Fra","7071","Arrow Films",NA,1,3,2357,7071,"2017-11-26",2017,47,"2017-47"
32,"In a Lonely Place (Re: 2017)","USA","6298","Park Circus",NA,1,4,1574,6298,"2017-11-26",2017,47,"2017-47"
33,"Breathe","UK","5734","STX Entertainment",-0.409900174951117,5,24,238,1628913,"2017-11-26",2017,47,"2017-47"
34,"Loving Vincent","UK/Pol","5644","Altitude",-0.725593154414625,7,10,564,850034,"2017-11-26",2017,47,"2017-47"
35,"Brakes","UK","5511.99999999511","Bulldog Film Distribution",NA,1,2,2755,5511,"2017-11-26",2017,47,"2017-47"
38,"The Big Heat (Re: 2017)","USA","4741","Park Circus",NA,1,8,592,4741,"2017-11-26",2017,47,"2017-47"
42,"The Snowman","UK/Swe/Nor","3889.00000000593","Universal",-0.367230719166561,7,6,648,3313725,"2017-11-26",2017,47,"2017-47"
43,"Paw Patrol: Big Screen Tails","UK","3386.66063424219","National Amusements UK",-0.291950617484142,6,70,48,138219,"2017-11-26",2017,47,"2017-47"
44,"Victoria and Abdul","UK","3131","Universal",-0.321118820468343,11,7,447,9873234,"2017-11-26",2017,47,"2017-47"
45,"Kardesim Benim 2","Tur","2907.07000000048","AF-Media",NA,1,3,969,2907,"2017-11-26",2017,47,"2017-47"
46,"Indrajith","Ind","2721.429999998","Murugan Talkies",NA,1,7,388,2721,"2017-11-26",2017,47,"2017-47"
55,"Goodbye Christopher Robin","UK","1072","20th Century Fox",-0.676230745998188,9,4,268,2866637,"2017-11-26",2017,47,"2017-47"
58,"Kenny","UK","938.200000004083","Shear Entertainment",-0.748673988748104,2,2,469,6881,"2017-11-26",2017,47,"2017-47"
59,"Tawai: A Voice from the Forest","UK/Bra/Ind/Mas","868","Munro Film",1.04716981132075,9,1,868,67752,"2017-11-26",2017,47,"2017-47"
62,"#Starvecrow","UK","596.000000003403","Munro Film",NA,1,1,596,596,"2017-11-26",2017,47,"2017-47"
64,"Earth: One Amazing Day","UK","509","BBC Earth/Munro",-0.0341555977229602,6,1,509,75350,"2017-11-26",2017,47,"2017-47"
66,"Alter Ego","Nigeria","460.100000003491","Evrit Films",NA,1,4,115,460,"2017-11-26",2017,47,"2017-47"
68,"I am Not a Witch","UK/Fra","383","Curzon/Artificial Eye",0.133136094674556,6,2,191,57123,"2017-11-26",2017,47,"2017-47"
70,"The Ballad of Shirley Collins","UK","357","Lowlight",0.265957446808511,6,3,119,17730,"2017-11-26",2017,47,"2017-47"
72,"God's Own Country","UK","344","Picture House Entertainment",-0.494860499265786,13,1,344,797235,"2017-11-26",2017,47,"2017-47"
75,"Property of the State","UK/Ire","288.558622074809","Miracle Communications",-0.57946621874596,5,1,288,14017,"2017-11-26",2017,47,"2017-47"
